episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,3.199876604363178,0.6831048802381054,0.1804042268222581,30.0,1.4,[30.0, 1.4],0.0,False,True,0.7913634526855833,1,17.709159380834848,7.754,prepare,0.0
0,2.0,3.1997327938476117,0.6831032114197831,0.18326595495146542,30.0,1.4,[30.0, 1.4],1.0,False,True,0.7905513581379272,1,17.709159380834848,7.819,in_progress,0.0
0,3.0,3.2079656305974056,0.6832679224444818,0.1796512723507021,30.0,1.4,[30.0, 1.4],1.0,False,True,0.8370432401099778,1,17.709159380834848,7.89,in_progress,0.0
0,4.0,3.228506709321574,0.6953746200618853,3.125305551859818,13.67751806974411,1.4,[13.67751806974411, 1.4],1.0,False,True,0.953137771199763,1,17.709159380834848,7.954,in_progress,0.0
0,5.0,3.263109647037595,0.7116424055387629,6.536540821791625,-21.134934425354004,1.4,[-21.134934425354004, 1.4],1.0,False,True,1.1486739223346845,1,17.709159380834848,8.024,in_progress,0.0
0,6.0,3.3127124821191676,0.7227740067500156,7.812862026741128,-20.623186826705933,1.4,[-20.623186826705933, 1.4],1.0,False,True,1.4288669124097346,2,17.709159380834848,8.089,in_progress,0.0
0,7.0,3.3767841220177917,0.7175818900390136,4.619434536458274,-23.756103515625,1.4,[-23.756103515625, 1.4],1.0,False,True,1.790374244314711,2,17.709159380834848,8.151,in_progress,0.0
0,8.0,3.4441813314362975,0.6986245764657807,-0.9007280948969869,26.192180514335632,1.4,[26.192180514335632, 1.4],1.0,False,True,2.1709253456016375,3,17.709159380834848,8.222,in_progress,0.0
0,9.0,3.5182205689905404,0.6818259970562881,-4.326211690584032,30.0,1.4,[30.0, 1.4],1.0,False,True,2.588984443492996,3,17.709159380834848,8.291,in_progress,0.0
0,10.0,3.593292539854068,0.6842890737303846,-2.4971405849789767,30.0,1.4,[30.0, 1.4],1.0,False,True,3.012905973587096,4,17.709159380834848,8.353,in_progress,0.0
0,11.0,3.668467209223866,0.7021007823589241,2.256852401327206,12.96913594007492,1.4,[12.96913594007492, 1.4],1.0,False,True,3.4374394055301427,4,17.709159380834848,8.422,in_progress,0.0
0,12.0,3.7556980337490375,0.7287498022690746,7.325244442702093,-27.10477352142334,1.4,[-27.10477352142334, 1.4],1.0,False,True,3.9300702295499574,5,17.709159380834848,8.486,in_progress,0.0
0,13.0,3.8362044463862057,0.7457475658281598,8.820136565136924,-26.60722553730011,1.5124675273895263,[-26.60722553730011, 1.5124675273895263],1.0,False,True,4.384700221229114,5,17.709159380834848,8.553,in_progress,0.0
0,14.0,3.9278114532702566,0.7457710419768623,5.7536203905514665,-21.798468232154846,1.4,[-21.798468232154846, 1.4],1.0,False,True,4.901986262525555,6,17.709159380834848,8.621,in_progress,0.0
0,15.0,4.020289020469101,0.7321942628871548,0.8410968789676153,-18.456934690475464,1.4,[-18.456934690475464, 1.4],1.0,False,True,5.42416135554645,6,17.709159380834848,8.687,in_progress,0.0
0,16.0,4.116883403013611,0.7082166245314249,-4.644062605835844,30.0,1.4,[30.0, 1.4],1.0,False,True,5.969563865936136,7,17.709159380834848,8.755,in_progress,0.0
0,17.0,4.212041346545495,0.6946432839019085,-5.854811516007525,30.0,1.5426221102476119,[30.0, 1.5426221102476119],1.0,False,True,6.50687416000959,8,17.709159380834848,8.823,in_progress,0.0
0,18.0,4.313983444771628,0.696897356242959,-3.1206248236003944,30.0,1.5696505159139633,[30.0, 1.5696505159139633],1.0,False,True,7.082525236752921,8,17.709159380834848,8.89,in_progress,0.0
0,19.0,4.414566869782873,0.7131727301725075,1.5270230209096953,3.452608734369278,1.4,[3.452608734369278, 1.4],1.0,False,True,7.650531609559557,9,17.709159380834848,8.955,in_progress,0.0
0,20.0,4.517119151400321,0.7327813844727842,5.217872678999026,-24.482871294021606,1.4,[-24.482871294021606, 1.4],1.0,False,True,8.229662702336578,10,17.709159380834848,9.022,in_progress,0.0
0,21.0,4.620805010524212,0.7427718457802107,5.289697792852767,-25.666226148605347,1.4,[-25.666226148605347, 1.4],1.0,False,True,8.815179537044223,10,17.709159380834848,9.087,in_progress,0.0
0,22.0,4.721881321420748,0.7404680430926857,2.8397734661803824,-28.59300971031189,1.4,[-28.59300971031189, 1.4],1.0,False,True,9.385937438238214,11,17.709159380834848,9.153,in_progress,0.0
0,23.0,4.826791087688802,0.7279746248500554,-0.9021718087536877,-21.070672273635864,1.4,[-21.070672273635864, 1.4],1.0,False,True,9.978314244028995,12,17.709159380834848,9.221,in_progress,0.0
0,24.0,4.922540240253348,0.7070800035666845,-5.075962068595203,30.0,1.4,[30.0, 1.4],1.0,False,True,10.518945240235293,12,17.709159380834848,9.29,in_progress,0.0
0,25.0,5.0178165688734575,0.6905054120261951,-6.764040852996376,29.29658353328705,1.4,[29.29658353328705, 1.4],1.0,False,True,11.056913390897103,13,17.709159380834848,9.355,in_progress,0.0
0,26.0,5.116870682926559,0.6887509400619123,-4.583007009340197,29.893637895584106,1.439548134803772,[29.893637895584106, 1.439548134803772],1.0,False,True,11.616248182701572,14,17.709159380834848,9.419,in_progress,0.0
0,27.0,5.210726088964392,0.6997022836134758,-0.5884590364579881,15.991424918174744,1.4,[15.991424918174744, 1.4],1.0,False,True,12.146247756572652,14,17.709159380834848,9.489,in_progress,0.0
0,28.0,5.315548417915127,0.721769617337188,4.283437185585789,-30.0,1.4,[-30.0, 1.4],1.0,False,True,12.738226864766784,15,17.709159380834848,9.552,in_progress,0.0
